2026-06-30 12:12:12.087 | info | wvu6l3osr05myq |     from ...models import AutoencoderKLCogVideoX, CogVideoXTransformer3DModel\n
2026-06-30 13:12:32.885 | info | wvu6l3osr05myq |   File "<frozen importlib._bootstrap>", line 1204, in _gcd_import\n
2026-06-30 13:12:32.885 | info | wvu6l3osr05myq |   File "<frozen importlib._bootstrap>", line 1176, in _find_and_load\n
2026-06-30 13:12:32.885 | info | wvu6l3osr05myq |   File "<frozen importlib._bootstrap>", line 1147, in _find_and_load_unlocked\n
2026-06-30 13:12:32.885 | info | wvu6l3osr05myq |   File "<frozen importlib._bootstrap>", line 690, in _load_unlocked\n
2026-06-30 13:12:32.885 | info | wvu6l3osr05myq |   File "<frozen importlib._bootstrap_external>", line 940, in exec_module\n
2026-06-30 13:12:32.885 | info | wvu6l3osr05myq |   File "<frozen importlib._bootstrap>", line 241, in _call_with_frames_removed\n
2026-06-30 13:12:32.885 | info | wvu6l3osr05myq |   File "/opt/conda/lib/python3.11/site-packages/diffusers/pipelines/cogvideo/pipeline_cogvideox.py", line 25, in <module>\n
2026-06-30 13:12:32.885 | info | wvu6l3osr05myq |     from ...models import AutoencoderKLCogVideoX, CogVideoXTransformer3DModel\n
2026-06-30 13:12:32.885 | info | wvu6l3osr05myq |   File "<frozen importlib._bootstrap>", line 1229, in _handle_fromlist\n
2026-06-30 13:12:32.885 | info | wvu6l3osr05myq |   File "/opt/conda/lib/python3.11/site-packages/diffusers/utils/import_utils.py", line 1005, in __getattr__\n
2026-06-30 13:12:32.885 | info | wvu6l3osr05myq |     module = self._get_module(self._class_to_module[name])\n
2026-06-30 13:12:32.885 | info | wvu6l3osr05myq |              ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n
2026-06-30 13:12:32.885 | info | wvu6l3osr05myq |   File "/opt/conda/lib/python3.11/site-packages/diffusers/utils/import_utils.py", line 1017, in _get_module\n
2026-06-30 13:12:32.885 | info | wvu6l3osr05myq |     raise RuntimeError(\n
2026-06-30 13:12:32.885 | info | wvu6l3osr05myq | RuntimeError: Failed to import diffusers.models.autoencoders.autoencoder_kl_cogvideox because of the following error (look up to see its traceback):\n
2026-06-30 13:12:32.885 | info | wvu6l3osr05myq | infer_schema(func): Parameter q has unsupported type torch.Tensor. The valid types are: dict_keys([<class 'torch.Tensor'>, typing.Optional[torch.Tensor], typing.Sequence[torch.Tensor], typing.List[torch.Tensor], typing.Sequence[typing.Optional[torch.Tensor]], typing.List[typing.Optional[torch.Tensor]], <class 'int'>, typing.Optional[int], typing.Sequence[int], typing.List[int], typing.Optional[typing.Sequence[int]], typing.Optional[typing.List[int]], <class 'float'>, typing.Optional[float], typing.Sequence[float], typing.List[float], typing.Optional[typing.Sequence[float]], typing.Optional[typing.List[float]], <class 'bool'>, typing.Optional[bool], typing.Sequence[bool], typing.List[bool], typing.Optional[typing.Sequence[bool]], typing.Optional[typing.List[bool]], <class 'str'>, typing.Optional[str], typing.Union[int, float, bool], typing.Union[int, float, bool, NoneType], typing.Sequence[typing.Union[int, float, bool]], typing.List[typing.Union[int, float, bool]], <class 'torch.dtype'>, typing.Optional[torch.dtype], <class 'torch.device'>, typing.Optional[torch.device]]). Got func with signature (q: 'torch.Tensor', k: 'torch.Tensor', v: 'torch.Tensor', softmax_scale: 'float | None' = None, causal: 'bool' = False, qv: 'torch.Tensor | None' = None, q_descale: 'torch.Tensor | None' = None, k_descale: 'torch.Tensor | None' = None, v_descale: 'torch.Tensor | None' = None, attention_chunk: 'int' = 0, softcap: 'float' = 0.0, num_splits: 'int' = 1, pack_gqa: 'bool | None' = None, deterministic: 'bool' = False, sm_margin: 'int' = 0) -> 'tuple[torch.Tensor, torch.Tensor]')\n
2026-06-30 13:12:32.886 | info | wvu6l3osr05myq | \n
2026-06-30 13:12:32.886 | info | wvu6l3osr05myq | The above exception was the direct cause of the following exception:\n
2026-06-30 13:12:32.886 | info | wvu6l3osr05myq | \n
2026-06-30 13:12:32.886 | info | wvu6l3osr05myq | Traceback (most recent call last):\n
2026-06-30 13:12:32.886 | info | wvu6l3osr05myq |   File "/app/handler.py", line 5, in <module>\n
2026-06-30 13:12:32.886 | info | wvu6l3osr05myq |     from diffusers import CogVideoXPipeline\n
2026-06-30 13:12:32.886 | info | wvu6l3osr05myq |   File "<frozen importlib._bootstrap>", line 1229, in _handle_fromlist\n
2026-06-30 13:12:32.886 | info | wvu6l3osr05myq |   File "/opt/conda/lib/python3.11/site-packages/diffusers/utils/import_utils.py", line 1006, in __getattr__\n
2026-06-30 13:12:32.886 | info | wvu6l3osr05myq |     value = getattr(module, name)\n
2026-06-30 13:12:32.886 | info | wvu6l3osr05myq |             ^^^^^^^^^^^^^^^^^^^^^\n
2026-06-30 13:12:32.886 | info | wvu6l3osr05myq |   File "/opt/conda/lib/python3.11/site-packages/diffusers/utils/import_utils.py", line 1006, in __getattr__\n
2026-06-30 13:12:32.886 | info | wvu6l3osr05myq |     value = getattr(module, name)\n
2026-06-30 13:12:32.886 | info | wvu6l3osr05myq |             ^^^^^^^^^^^^^^^^^^^^^\n
2026-06-30 13:12:32.886 | info | wvu6l3osr05myq |   File "/opt/conda/lib/python3.11/site-packages/diffusers/utils/import_utils.py", line 1005, in __getattr__\n
2026-06-30 13:12:32.886 | info | wvu6l3osr05myq |     module = self._get_module(self._class_to_module[name])\n
2026-06-30 13:12:32.886 | info | wvu6l3osr05myq |              ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n
2026-06-30 13:12:32.886 | info | wvu6l3osr05myq |   File "/opt/conda/lib/python3.11/site-packages/diffusers/utils/import_utils.py", line 1017, in _get_module\n
2026-06-30 13:12:32.886 | info | wvu6l3osr05myq |     raise RuntimeError(\n
2026-06-30 13:12:32.886 | info | wvu6l3osr05myq | RuntimeError: Failed to import diffusers.pipelines.cogvideo.pipeline_cogvideox because of the following error (look up to see its traceback):\n
2026-06-30 13:12:32.886 | info | wvu6l3osr05myq | Failed to import diffusers.models.autoencoders.autoencoder_kl_cogvideox because of the following error (look up to see its traceback):\n
2026-06-30 13:12:32.886 | info | wvu6l3osr05myq | infer_schema(func): Parameter q has unsupported type torch.Tensor. The valid types are: dict_keys([<class 'torch.Tensor'>, typing.Optional[torch.Tensor], typing.Sequence[torch.Tensor], typing.List[torch.Tensor], typing.Sequence[typing.Optional[torch.Tensor]], typing.List[typing.Optional[torch.Tensor]], <class 'int'>, typing.Optional[int], typing.Sequence[int], typing.List[int], typing.Optional[typing.Sequence[int]], typing.Optional[typing.List[int]], <class 'float'>, typing.Optional[float], typing.Sequence[float], typing.List[float], typing.Optional[typing.Sequence[float]], typing.Optional[typing.List[float]], <class 'bool'>, typing.Optional[bool], typing.Sequence[bool], typing.List[bool], typing.Optional[typing.Sequence[bool]], typing.Optional[typing.List[bool]], <class 'str'>, typing.Optional[str], typing.Union[int, float, bool], typing.Union[int, float, bool, NoneType], typing.Sequence[typing.Union[int, float, bool]], typing.List[typing.Union[int, float, bool]], <class 'torch.dtype'>, typing.Optional[torch.dtype], <class 'torch.device'>, typing.Optional[torch.device]]). Got func with signature (q: 'torch.Tensor', k: 'torch.Tensor', v: 'torch.Tensor', softmax_scale: 'float | None' = None, causal: 'bool' = False, qv: 'torch.Tensor | None' = None, q_descale: 'torch.Tensor | None' = None, k_descale: 'torch.Tensor | None' = None, v_descale: 'torch.Tensor | None' = None, attention_chunk: 'int' = 0, softcap: 'float' = 0.0, num_splits: 'int' = 1, pack_gqa: 'bool | None' = None, deterministic: 'bool' = False, sm_margin: 'int' = 0) -> 'tuple[torch.Tensor, torch.Tensor]')\n
2026-06-30 13:12:45.848 | error | wvu6l3osr05myq | worker exited with exit code 1
